,Ruta,Nombres
71,G43,G43                        Portal Eldorado - San Mateo -  C.C. Unisur                    L-S            | 05:00 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
72,G45,G45                        San Mateo -  C.C. Unisur - Portal del Sur                    L-S            | 05:00 AM            - 08:00 AM L-S            | 05:00 PM            - 08:00 PM
73,G45,G45                        Portal Sur - JFK Coop.Financiera - San Mateo -  C.C. Unisur                    L-S            | 05:00 AM            - 08:00 AM L-S            | 05:00 PM            - 08:00 PM
74,G46,G46                        Portal Norte - San Mateo - C.C. Unisur                    L-S            | 05:00 AM            - 09:00 AM L-S            | 03:00 PM            - 08:00 PM
75,G47,G47                        Museo Nacional - Portal Sur - JFK Coop.Financiera                    L-V            | 04:30 AM            - 11:00 PM S            | 05:00 AM            - 11:00 PM D-F            | 05:30 AM            - 10:00 PM
76,G52,G52                        Flores - Área Andina - Portal Sur - JFK Coop.Financiera                    L-V            | 04:00 PM            - 08:00 PM
77,H13,H13                        Portal Norte - Portal Tunal                    L-V            | 05:30 AM            - 10:00 PM S            | 06:30 AM            - 10:00 PM
78,H15,H15                        Portal Suba - Portal Tunal                    L-S            | 05:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
79,H17,H17                        Portal Suba - Portal Usme                    L-V            | 04:30 AM            - 08:00 PM S            | 05:00 AM            - 03:00 PM
80,H20,H20                        Portal de la 80 - Portal Usme                    L-V            | 04:30 AM            - 10:00 PM S            | 05:00 AM            - 08:00 PM
81,H21,H21                        Portal de la 80 - Portal Tunal                    L-S            | 04:30 AM            - 11:00 PM
82,H27,H27                        Portal Norte - Portal Tunal                    L-V            | 06:00 AM            - 09:00 AM L-V            | 03:00 PM            - 08:00 PM
83,H54,H54                        Portal Eldorado - Portal Usme                    L-S            | 05:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
84,H72,H72                        Toberín - Foundever - Portal Usme                    L-S            | 05:30 AM            - 11:00 PM D-F            | 05:00 AM            - 09:00 PM
85,H75,H75                        Portal Norte - Portal Usme                    L-S            | 05:00 AM            - 11:00 PM D-F            | 05:30 AM            - 10:00 PM
86,H76,H76                        Universidades - CityU - Portal Usme                     L-V            | 04:00 PM            - 10:30 PM
87,H83,H83                        Museo Nacional - Usme Porvenir II                    L-V            | 05:00 AM            - 11:00 PM S            | 05:00 AM            - 10:30 PM D-F            | 05:00 AM            - 10:00 PM
88,J23,J23                        Portal de las Américas - Las Aguas - C. Col Americano                    L-S            | 04:00 AM            - 11:00 PM D-F            | 05:00 AM            - 10:00 PM
89,J24,J24                        Portal de la 80 - Universidades - CityU                    L-V            | 05:30 AM            - 10:15 PM S            | 05:30 AM            - 08:30 PM
90,J70,J70                        Portal del Norte - Las aguas - Centro Colombo Americano                     L-V            | 05:30 AM            - 09:00 AM
91,J73,J73                        Portal Suba - Universidades - CityU                    L-V            | 05:30 AM            - 09:00 AM
92,J74,J74                        Portal Norte - Las Aguas - C. Col Americano                    L-V            | 05:30 AM            - 09:30 PM S            | 06:30 AM            - 08:30 PM
93,J76,J76                         Portal Usme - Universidades - CityU                     L-V            | 05:00 AM            - 08:30 AM
94,K10,K10                        Portal 20 de Julio - Portal  Eldorado                     L-S            | 04:00 AM            - 11:00 PM
95,K16,K16                        Terminal - Portal Eldorado                    L-V            | 05:00 AM            - 10:30 PM S            | 05:30 AM            - 10:00 PM
96,K23,K23                        Alcalá Col S. Tomás Dominico - Portal Eldorado                    L-S            | 05:30 AM            - 10:00 PM
97,K43,K43                        San Mateo - C.C. Unisur - Portal Eldorado                    L-S            | 04:00 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
98,K54,K54                        Portal Usme - Portal Eldorado                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
99,K86,K86                        Fundación Santa Fe - Portal Eldorado                    L-S            | 05:30 AM            - 11:00 PM D-F            | 05:30 AM            - 10:00 PM
100,K86,K86                        Fundación Santa Fe - Portal Eldorado (ciclovía)                    D-F            | 07:00 AM            - 02:00 PM
101,L10,L10                        Portal Eldorado - Portal 20 de Julio                    L-S            | 05:00 AM            - 11:00 PM
102,L18,L18                        Terminal - Portal 20 de Julio                    L-V            | 05:00 AM            - 11:00 PM S            | 05:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
103,L25,L25                        Portal Suba -  Portal 20 de Julio                    L-V            | 05:00 AM            - 10:00 PM S            | 05:00 AM            - 08:00 PM D-F            | 05:00 AM            - 10:00 PM
104,L41,L41                        Bicentenario                    L-V            | 04:30 AM            - 09:00 PM S            | 04:30 AM            - 09:00 PM
105,L81,L81                        Puente de Guadua - Portal 20 de Julio                    L-V            | 05:00 AM            - 11:00 PM S            | 05:30 AM            - 10:30 PM D-F            | 06:00 AM            - 09:30 PM
106,L82,L82                        Portal 20 de Julio                    L-S            | 04:30 AM            - 10:00 PM D-F            | 05:00 AM            - 09:00 PM
107,L82,L82                        Ginebra Norte - Portal 20 de Julio [Ciclovía]                    D-F            | 07:00 AM            - 02:00 AM
